bs,Throughput
1.0,2444.653336268324
2.0,4775.030781993149
3.0,7064.074819767749
4.0,9195.417825832345
5.0,10916.193650552592
6.0,12682.568208495055
7.0,14261.907697891618
8.0,15797.303955945024
9.0,17057.878002631132
10.0,18153.557109871876
11.0,19166.455232716875
12.0,20241.359209057773
13.0,21194.333211094745
14.0,21989.578447925604
15.0,22851.624365383355
16.0,23470.48725325542
17.0,24158.649750648292
18.0,24752.613156915773
19.0,25377.263875230372
20.0,25890.605690838456
