UE/BS_ratio,percent_ues_reaching_target
1000.0,5.783112127177663
500.0,10.029095872696576
333.3333333333333,14.501624209266541
250.0,18.698296632015232
200.0,23.387056283576843
166.66666666666666,28.12040625417613
142.71428571428572,32.51514291912096
124.625,36.75727086149072
111.0,40.68941364818892
100.0,44.476681173194606
90.81818181818181,47.83087131948381
83.33333333333333,51.74673581350364
76.92307692307692,55.118477880238125
71.42857142857143,58.48062429133596
66.6,61.95804429028815
62.5,64.47519799916633
58.8235294117647,67.4031582984542
55.55555555555556,70.36715910227765
52.578947368421055,73.00628846891628
50.0,75.56541463740076
